CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,CustNum,Date,Product,Quantity,Price,Customer_ID,Region,Total_Sales
C00001,6,64,1540,One year,Credit Card,No,1,0,1,2024-01-01,Phone,7.0,37300.0,CUST001,East,261100.0
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,0,2,2024-01-02,Headphones,4.0,15406.0,CUST002,North,61624.0
C00003,27,31,1455,Two year,Credit Card,No,1,0,3,2024-01-03,Phone,2.0,21746.0,CUST003,West,43492.0
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,0,4,2024-01-04,Headphones,1.0,30895.0,CUST004,East,30895.0
C00005,16,185,1023,One year,Electronic Check,No,1,0,5,2024-01-05,Laptop,8.0,39835.0,CUST005,North,318680.0
C00006,55,44,7538,Two year,Electronic Check,No,0,0,6,2024-01-06,Laptop,7.0,40420.0,CUST006,South,282940.0
C00007,66,99,4178,Two year,Bank Transfer,No,1,0,7,2024-01-07,Laptop,9.0,40430.0,CUST007,South,363870.0
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,0,8,2024-01-08,Laptop,7.0,7262.0,CUST008,West,50834.0
C00009,64,124,7973,Month-to-month,Credit Card,No,1,0,9,2024-01-09,Tablet,3.0,32791.0,CUST009,North,98373.0
C00010,14,120,5844,One year,Bank Transfer,Yes,1,0,10,2024-01-10,Laptop,4.0,45023.0,CUST010,West,180092.0
C00011,59,57,5168,One year,Credit Card,Yes,0,0,11,2024-01-11,Monitor,8.0,6160.0,CUST011,West,49280.0
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,1,12,2024-01-12,Phone,2.0,13233.0,CUST012,West,26466.0
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,0,13,2024-01-13,Phone,8.0,20655.0,CUST013,East,165240.0
C00014,8,158,6194,Month-to-month,Credit Card,No,1,1,14,2024-01-14,Headphones,4.0,4195.0,CUST014,East,16780.0
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,0,15,2024-01-15,Headphones,2.0,34447.0,CUST015,West,68894.0
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,0,16,2024-01-16,Phone,9.0,41548.0,CUST016,South,373932.0
C00017,19,187,4874,Two year,Credit Card,No,0,0,17,2024-01-17,Phone,5.0,13488.0,CUST017,South,67440.0
C00018,42,101,3736,One year,Bank Transfer,Yes,0,0,18,2024-01-18,Tablet,4.0,19322.0,CUST018,North,77288.0
C00019,7,156,5389,One year,Bank Transfer,Yes,0,1,19,2024-01-19,Tablet,1.0,44045.0,CUST019,West,44045.0
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,0,20,2024-01-20,Laptop,8.0,41749.0,CUST020,North,333992.0
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,0,21,2024-01-21,Laptop,3.0,36518.0,CUST021,East,109554.0
C00022,25,120,4855,Two year,Credit Card,Yes,0,0,22,2024-01-22,Tablet,2.0,6713.0,CUST022,West,13426.0
C00023,60,40,1755,One year,Credit Card,No,1,0,23,2024-01-23,Laptop,9.0,29275.0,CUST023,North,263475.0
C00024,30,100,3710,Two year,Credit Card,No,1,0,24,2024-01-24,Headphones,1.0,17838.0,CUST024,West,17838.0
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,0,25,2024-01-25,Monitor,2.0,9191.0,CUST025,West,18382.0
C00026,47,181,3295,One year,Credit Card,No,1,0,26,2024-01-26,Laptop,3.0,25948.0,CUST026,North,77844.0
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,0,27,2024-01-27,Tablet,1.0,38298.0,CUST027,North,38298.0
C00028,20,56,3950,One year,Bank Transfer,No,1,0,28,2024-01-28,Tablet,7.0,43495.0,CUST028,North,304465.0
C00029,36,175,3682,One year,Bank Transfer,No,0,0,29,2024-01-29,Headphones,1.0,45467.0,CUST029,North,45467.0
C00030,34,190,7540,One year,Bank Transfer,No,1,0,30,2024-01-30,Tablet,9.0,11902.0,CUST030,North,107118.0
C00031,28,101,4643,One year,Electronic Check,Yes,1,0,31,2024-01-31,Tablet,6.0,34900.0,CUST031,East,209400.0
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,1,32,2024-02-01,Phone,4.0,16997.0,CUST032,South,67988.0
C00033,43,182,7129,One year,Electronic Check,Yes,0,0,33,2024-02-02,Tablet,3.0,20696.0,CUST033,South,62088.0
C00034,32,195,7139,One year,Bank Transfer,Yes,1,0,34,2024-02-03,Tablet,2.0,48602.0,CUST034,East,97204.0
C00035,60,44,1302,One year,Credit Card,No,1,0,35,2024-02-04,Tablet,6.0,4339.0,CUST035,South,26034.0
C00036,50,116,690,Month-to-month,Credit Card,No,1,0,36,2024-02-05,Tablet,4.0,45515.0,CUST036,East,182060.0
C00037,37,42,947,Month-to-month,Electronic Check,No,0,0,37,2024-02-06,Phone,5.0,40177.0,CUST037,North,200885.0
C00038,62,166,6225,Two year,Electronic Check,Yes,1,0,38,2024-02-07,Monitor,8.0,19256.0,CUST038,East,154048.0
C00039,50,84,858,Month-to-month,Credit Card,No,0,0,39,2024-02-08,Monitor,1.0,39924.0,CUST039,South,39924.0
C00040,26,151,1952,Two year,Electronic Check,No,0,0,40,2024-02-09,Phone,4.0,11494.0,CUST040,South,45976.0
C00041,42,20,1950,Two year,Credit Card,Yes,1,0,41,2024-02-10,Monitor,1.0,20083.0,CUST041,West,20083.0
C00042,7,148,2701,Two year,Credit Card,Yes,0,0,42,2024-02-11,Phone,1.0,18616.0,CUST042,West,18616.0
C00043,63,89,6547,One year,Electronic Check,Yes,0,0,43,2024-02-12,Tablet,6.0,43350.0,CUST043,West,260100.0
C00044,42,123,3913,Month-to-month,Credit Card,No,1,0,44,2024-02-13,Monitor,4.0,43428.0,CUST044,West,173712.0
C00045,34,93,3344,Two year,Credit Card,Yes,0,0,45,2024-02-14,Phone,2.0,40244.0,CUST045,East,80488.0
C00046,32,170,4773,Two year,Credit Card,No,1,0,46,2024-02-15,Tablet,2.0,11032.0,CUST046,West,22064.0
C00047,22,46,7555,Month-to-month,Bank Transfer,No,1,0,47,2024-02-16,Phone,6.0,29499.0,CUST047,North,176994.0
C00048,37,162,3735,Month-to-month,Electronic Check,Yes,1,0,48,2024-02-17,Monitor,1.0,6720.0,CUST048,West,6720.0
C00049,56,49,3376,Month-to-month,Bank Transfer,No,0,0,49,2024-02-18,Laptop,1.0,32297.0,CUST049,South,32297.0
C00050,49,121,5161,One year,Bank Transfer,Yes,0,0,50,2024-02-19,Laptop,4.0,43848.0,CUST050,West,175392.0
C00051,71,172,416,Month-to-month,Electronic Check,No,1,0,51,2024-02-20,Phone,9.0,15160.0,CUST051,West,136440.0
C00052,31,154,7537,Two year,Credit Card,Yes,1,0,52,2024-02-21,Headphones,1.0,32524.0,CUST052,West,32524.0
C00053,53,48,1497,One year,Credit Card,No,0,0,53,2024-02-22,Monitor,6.0,24160.0,CUST053,North,144960.0
C00054,49,68,2615,Month-to-month,Bank Transfer,Yes,1,0,54,2024-02-23,Tablet,5.0,1308.0,CUST054,North,6540.0
C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,1,55,2024-02-24,Tablet,7.0,4341.0,CUST055,South,30387.0
C00056,47,54,6827,Two year,Bank Transfer,Yes,0,0,56,2024-02-25,Phone,3.0,37135.0,CUST056,North,111405.0
C00057,58,121,3537,One year,Credit Card,No,1,0,57,2024-02-26,Monitor,6.0,37055.0,CUST057,East,222330.0
C00058,59,72,7053,Month-to-month,Bank Transfer,Yes,0,0,58,2024-02-27,Monitor,2.0,5272.0,CUST058,East,10544.0
C00059,36,38,3792,One year,Bank Transfer,Yes,1,0,59,2024-02-28,Laptop,5.0,15475.0,CUST059,South,77375.0
C00060,26,182,7074,Month-to-month,Credit Card,No,0,0,60,2024-02-29,Headphones,3.0,13624.0,CUST060,South,40872.0
C00061,23,187,5608,Month-to-month,Electronic Check,No,1,0,61,2024-03-01,Tablet,5.0,29840.0,CUST061,North,149200.0
C00062,10,195,4284,Two year,Electronic Check,No,0,1,62,2024-03-02,Laptop,8.0,19661.0,CUST062,South,157288.0
C00063,53,128,5803,One year,Bank Transfer,No,0,0,63,2024-03-03,Monitor,9.0,24224.0,CUST063,East,218016.0
C00064,25,176,4496,One year,Bank Transfer,No,1,0,64,2024-03-04,Laptop,5.0,17924.0,CUST064,West,89620.0
C00065,65,180,4142,One year,Credit Card,Yes,0,0,65,2024-03-05,Phone,7.0,44652.0,CUST065,South,312564.0
C00066,3,140,2541,One year,Electronic Check,No,1,0,66,2024-03-06,Laptop,8.0,14381.0,CUST066,North,115048.0
C00067,53,61,3631,One year,Bank Transfer,No,0,0,67,2024-03-07,Headphones,2.0,44487.0,CUST067,East,88974.0
C00068,62,62,3016,Two year,Credit Card,Yes,0,0,68,2024-03-08,Laptop,3.0,34303.0,CUST068,North,102909.0
C00069,2,102,1333,Two year,Credit Card,Yes,0,1,69,2024-03-09,Tablet,3.0,23229.0,CUST069,North,69687.0
C00070,53,21,6828,One year,Credit Card,No,0,0,70,2024-03-10,Laptop,9.0,35418.0,CUST070,South,318762.0
C00071,69,153,1418,Month-to-month,Electronic Check,No,0,0,71,2024-03-11,Phone,4.0,34843.0,CUST071,West,139372.0
